地区,事故起数,死亡人数,受伤人数,直接财产损失
合计,265204,73484,304919,1009721657
机动车违法小计,240475,67227,279368,934824054
超速行驶,26966,10584,28793,106972485
酒后驾驶,7518,3060,7840,28251004
逆行,11959,3877,16286,56290412
疲劳驾驶,2568,1353,3129,57384023
违法变更车道,7206,1108,8804,27606897
违法超车,8449,2365,11011,34001062
违法倒车,3255,722,2770,4610508
违法掉头,3875,406,4823,11730747
违法会车,11121,2999,15386,32786460
违法牵引,66,25,73,180334
违法抢行,1203,255,1321,3948392
违法上道路行驶,4392,1913,5148,21398503
违法停车,1426,528,1563,8272020
违法占道行驶,10259,2984,12779,36172732
违法装载,2851,1852,3294,21927547
违法装载超限及危险品运输,38,12,37,149143
违反交通信号,5847,1245,7595,28045197
未按规定让行,48420,9102,54763,94233437
无证驾驶,16481,5533,20120,27081349
不按规定使用灯光,942,269,1013,2074379
其他影响安全行为,65633,17035,72820,331707423
机动车非违法过错小计,11184,3079,12410,53984480
制动不当,834,254,1035,5973530
转向不当,237,54,318,4472940
油门控制不当,104,41,110,1077161
其他操作不当,10009,2730,10947,42460849
非机动车违法小计,9492,1609,9969,10589675
超速行驶,478,61,517,336029
酒后驾驶,147,45,140,119610
逆行,1565,194,1832,1448853
违法超车,306,25,323,181507
违法牵引,19,4,19,19250
违法抢行,340,64,343,415910
违法上道路行驶,272,60,270,263864
违法停车,17,1,19,14390
违法占道行驶,1750,294,1820,1900945
违法装载,66,12,70,30747
违反交通信号,984,192,978,1482643
未按规定让行,1934,377,2027,2391686
无证驾驶,32,4,33,11277
其他影响安全行为,1582,276,1578,1972964
行人乘车人违法小计,3638,1388,2620,6999540
违法上道路行驶,570,388,229,3140794
违法占道,302,88,242,318843
违反交通信号,1309,343,1090,1472132
其他影响安全行为,1457,569,1059,2067771
道路原因小计,11,3,14,70369
未设置道路安全设施,8,3,8,64705
安全设施损坏、灭失,1,0,2,51
道路缺陷,0,0,0,0
其他道路原因,2,0,4,5613
意外原因小计,404,178,538,3253539
